Redox Couple,Oxidant_1,Oxidant_2,Oxidant_3,Reductant_1,Reductant_2
SO4-2 to sulfur,SO4-2,HSO4-,,S,
SO4-2 to pyrite,SO4-2,HSO4-,,pyrite,
SO4-2 to H2S,SO4-2,HSO4-,,H2S,HS-
sulfur to pyrite,sulfur,,,pyrite,
sulfur to H2S,sulfur,,,H2S,HS-
pyrite to H2S,pyrite,,,H2S,HS-
goethite to magnetite,goethite,,,magnetite,
goethite to Fe+2,goethite,,,Fe+2,
hematite to magnetite,hematite,,,magnetite,
hematite to Fe+2,hematite,,,Fe+2,
magnetite to Fe+2,magnetite,,,Fe+2,
CO2 to CO,CO2,HCO3-,CO3-2,CO,
CO2 to CH4,CO2,HCO3-,CO3-2,CH4,
CO to CH4,CO,,,CH4,
NO3- to NO2-,NO3-,HNO3,,NO2-,HNO2
NO3- to NH3,NO3-,HNO3,,NH3,NH4+
NO2- to NH3,NO2-,HNO2,,NH3,NH4+
O2 to H2O,O2,,,H2O,
H2O to H2,H2O,,,H2,
